200204010001,2002,4,1,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","04/01/2002: Five Molotov cockatil firebombs were launched at a Belgian synagogue located in the Anderlecht suburb of Brussels. Two firebombs hit the building, breaking through windows, and caused a fire. Local fire patrols contained the fire withing 45 minutes, and no one was injured. The attack was blamed on rising tensions over the Israeli-Palestinian battles. There were no suspects.",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",15,Religious Figures/Institutions,86,Place of Worship,Unknown,A Belgian synagogue in Anderlict.,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","","",0,0,0,0,0,0,1,4,Unknown,"","",0,"","","","","","","","","","","","","","","","","\"\"\"Belgian Government Condems Arson Attack Against Synagogue","\"\" Groot Bijgaarden de Standaard website","04/02/2002.\"","\"\"\"Belgium: Synagogue Targeted in Arson Attack in Brussles","\"\" Groot Bijgaarden de Standaard website","04/01/2002.\"","\"Jacques Remertz, \"\"Belgian Synagogue Petrol Bombed; vox pop",official reaction,"\"\" Brussels RTBF La Premier Radio"
200306040007,2003,6,4,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","06/04/2003:  Unknown assailants sent envelopes filled with diphenylamine chloroarsine to the Brussels courthouse in Brussels, Belgium.  No injuries were reported in the incident.",1,1,1,0,"","",1,0,0,8,Unarmed Assault,"","","","",2,Government (General),14,Judge/Attorney/Court,Brussels courthouse,Brussels courthouse,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The letters were sent during the trial of 23 suspected Al-Qaida members in Brussels, Belgium.",0,"","",0,"",0,0,"","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","",Diphenylamine chloroarsine,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","Castonguay, Gilles, �Belgium Finds Nerve Gas Ingredient in Letters,� Reuters, June 4, 2003.","�Belgians Detain Iraqi Suspected of Mailing Nerve Gas Chemical,� New York Times, June 6, 2003.","�Belgium Frees Suspect in Toxic Letters Case,� Xinhua General News Service, July 22, 2003.",CETIS,-9,-9,0,-9,"200306040007, 200306040003, 200306040004, 200306040005, 200306040006, 200306040008, 200306040009, 200306040010"
197405220001,1974,5,22,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",6,Airports & Aircraft,43,Airline Officer/Personnel,"",Iberia Airlines Office,185,Spain,"","","","","","","","","","","","","","","","",International Revolutionary Action Group (GARI),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",1,"","",1,3,Minor (likely < $1 million),10000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
200306040008,2003,6,4,"",0,"",21,8,Western Europe,Flanders,Oostende,51.216591,2.899872,1,0,"","06/04/2003:  Unknown assailants sent envelopes filled with diphenylamine chloroarsine to the Oostende airport in Brussels, Belgium.  No injuries were reported in the incident.",1,1,1,0,"","",1,0,0,8,Unarmed Assault,"","","","",6,Airports & Aircraft,44,Airport,Oostenade airport,"Oostenade airport in Brussels, Belgium.",21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The letters were sent during the trial of 23 suspected Al-Qaida members in Brussels, Belgium.",0,"","",0,"",0,0,"","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","",Diphenylamine chloroarsine,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","Castonguay, Gilles, �Belgium Finds Nerve Gas Ingredient in Letters,� Reuters, June 4, 2003.","�Belgians Detain Iraqi Suspected of Mailing Nerve Gas Chemical,� New York Times, June 6, 2003.","�Belgium Frees Suspect in Toxic Letters Case,� Xinhua General News Service, July 22, 2003.",CETIS,-9,-9,0,-9,"200306040008, 200306040003, 200306040004, 200306040005, 200306040006, 200306040007, 200306040009, 200306040010"
197405220002,1974,5,22,"",0,"",21,8,Western Europe,Wallonia,Liege,50.632557,5.579666,1,0,"","",1,1,1,0,"","",0,0,0,7,Facility/Infrastructure Attack,"","","","",6,Airports & Aircraft,43,Airline Officer/Personnel,"",iberia airlines office,185,Spain,"","","","","","","","","","","","","","","","",International Revolutionary Action Group (GARI),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
200306040009,2003,6,4,"",0,"",21,8,Western Europe,Flanders,Antwerp,51.219062,4.40289,1,0,"","06/04/2003:  Unknown assailants sent envelopes filled with diphenylamine chloroarsine to the Antwerp port authority in Antwerp, Belgium.  No injuries were reported in the incident.",1,1,1,0,"","",1,0,0,8,Unarmed Assault,"","","","",3,Police,25,Police Security Forces/Officers,Belgium Port Authority,Antwerp port authority,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The letters were sent during the trial of 23 suspected Al-Qaida members in Brussels, Belgium.",0,"","",0,"",0,0,"","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","",Diphenylamine chloroarsine,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","Castonguay, Gilles, �Belgium Finds Nerve Gas Ingredient in Letters,� Reuters, June 4, 2003.","�Belgians Detain Iraqi Suspected of Mailing Nerve Gas Chemical,� New York Times, June 6, 2003.","�Belgium Frees Suspect in Toxic Letters Case,� Xinhua General News Service, July 22, 2003.",CETIS,-9,-9,0,-9,"200306040009, 200306040003, 200306040004, 200306040005, 200306040006, 200306040007, 200306040008, 200306040010"
197405220003,1974,5,22,"",0,"",21,8,Western Europe,Flanders,Antwerp,51.219062,4.40289,1,0,"","",1,1,1,0,"","",0,0,0,7,Facility/Infrastructure Attack,"","","","",6,Airports & Aircraft,43,Airline Officer/Personnel,"",Iberia Airline offices,185,Spain,"","","","","","","","","","","","","","","","",International Revolutionary Action Group (GARI),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
200306040010,2003,6,4,"",0,"",21,8,Western Europe,Flanders,Antwerp,51.219062,4.40289,1,0,"","06/04/2003:  Unknown assailants sent envelopes filled with diphenylamine chloroarsine to the Belgium ministry offices in Antwerp, Belgium.  No injuries were reported in the incident.",1,1,1,0,"","",1,0,0,8,Unarmed Assault,"","","","",2,Government (General),21,Government Building/Facility/Office,Belgium Government,Belgium ministry offices,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The letters were sent during the trial of 23 suspected Al-Qaida members in Brussels, Belgium.",0,"","",0,"",0,0,"","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","",Diphenylamine chloroarsine,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","Castonguay, Gilles, �Belgium Finds Nerve Gas Ingredient in Letters,� Reuters, June 4, 2003.","�Belgians Detain Iraqi Suspected of Mailing Nerve Gas Chemical,� New York Times, June 6, 2003.","�Belgium Frees Suspect in Toxic Letters Case,� Xinhua General News Service, July 22, 2003.",CETIS,-9,-9,0,-9,"200306040010, 200306040003, 200306040004, 200306040005, 200306040006, 200306040007, 200306040008, 200306040009"
197408050001,1974,8,5,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,3,Bank/Commerce,"",Spanish Bank in Brussels (3 Branches),185,Spain,"","","","","","","","","","","","","","","","",International Revolutionary Action Group (GARI),"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,3,Minor (likely < $1 million),20000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
200702010003,2007,2,1,"",0,"",21,8,Western Europe,Wallonia,Charleroi,50.412431,4.443722,1,0,"","02/01/2007: Molotov cocktails were thrown at four different police stations in Charleroi, Belgium. There were no casualties and no claim of responsibility for this incident.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",3,Police,22,"Police Building (headquarters, station, school)",Belgium State Police,Police Stations in Charleroi,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",6,Explosives,17,Other Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","","","�Molotov Cocktails Thrown at Four Police Stations in Southern Belgium� AFP.  February 1, 2007.","","",CETIS,-9,-9,0,-9,""
197605200001,1976,5,20,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",FRG Embassy,75,Germany,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197712290001,1977,12,29,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,4,Multinational Corporation,"",Mercedes Dealer,75,Germany,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,2,"","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,3,Minor (likely < $1 million),150,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197801030001,1978,1,3,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",Turkish Embassy Office,209,Turkey,"","","","","","","","","","","","","","","","",Justice Commandos for the Armenian Genocide,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,3,Minor (likely < $1 million),1200,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
197801080004,1978,1,8,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Isreal,Isreali Embassy,97,Israel,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)","","","","","","","","","","","","",Rockets,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197801100003,1978,1,10,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"","Turkish Embassy, Finance Section",209,Turkey,"","","","","","","","","","","","","","","","",Armenians,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,3,Minor (likely < $1 million),2000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
197801160003,1978,1,16,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,-9,"","",0,0,0,3,Bombing/Explosion,"","","","",1,Business,11,Entertainment/Cultural/Stadium/Casino,"",Auto Show,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
197802010002,1978,2,1,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,-9,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",1,Business,"","","Liberop, France Co with lead office in Brussels","David Beissam, president",200,Syria,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,4,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","","","","","","","",0,"","","","",1,1,0,"","","",Belgium,0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197802010007,1978,2,1,"",0,"",21,8,Western Europe,Flanders,Heverlee,50.86386,4.69594,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,7,Retail/Grocery/Bakery,Food Company,Israeli Economy,97,Israel,"","","","","","","","","","","","","","","","",Arab Revolutionary Army,"","","","","","",0,"","",0,"","","","","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","",Mercury,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",CBRN Global Chronology,1,0,1,1,""
197803040001,1978,3,4,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",Iraqi Embassy,95,Iraq,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,3,Minor (likely < $1 million),3000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197803070003,1978,3,7,"",1,4/10/1978,21,8,Western Europe,Flanders,Antwerp,51.219062,4.40289,1,0,"","",1,1,1,-9,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",1,Business,"","","own firm, bracht regis","Baron charles bracht, insurance executive, honorary austrian consul",21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,4,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",1,"","",0,"","",0,"","","","",1,1,0,"","","",Belgium,1,82000000,"",0,"","",4,Hostage(s) killed (not during rescue attempt),1,"","","","",PGIS,-9,-9,0,-9,""
