200404050004,2004,4,5,"",0,"",38,1,North America,Quebec (Province),Montreal,45.50867,-73.553992,1,0,"","04/05/2004: At around 2:00 am local time, suspected HAMAS members threw a firebomb into the library of a Jewish elementary school in Montreal, Canada. No one was hurt in the fire, but the library was ruined along with the school's computer lab. Firefights found a note after they extinguished the blaze that was full of anti-Semitic comments. The school had been closed for Passover at the time of the attack. Authorities believe that the fire was in retaliation of the assassination of Sheik Ahmed Yassin, the found of the HAMAS group.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,"","","","",8,Educational Institution,49,School/University/Educational Building,Jewish Elementary School,United Torah Talmud Schools,38,Canada,"","","","","","","","","","","","","","","","",Hamas (Islamic Resistance Movement),"","","","","",Fire was possibly motivated by the assassination of Sheik Ahmed Yassin.,1,"","",0,"",0,0,"","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","",Police stated that the weapon was a fire and accelerant but did not give more spcifics about the weapon.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"",The school library and computer lab were very damaged along with the loss of most of the books contained in the library.,0,"","","","","","","","","","","","","","","","","\"Gary Dimmock and James Mennie, \"\"Letter links firebombing to killing: Montreal attack in response to Hamas assassination","\"\" Canwest News Service",April 6,"2004.\"","\"\"\"Jewish school firebombed in Montreal","\"\" United Press international",April 6,"2004.\"","\"\"\"Anti-Semitic Notes Found in Burned School"
198200000001,1982,0,0,"",0,"",38,1,North America,Ontario,Toronto,43.666667,-79.416667,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",consulate,209,Turkey,"","","","","","","","","","","","","","","","",Armenian Secret Army for the Liberation of Armenia,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Bomb,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",Hyland,1,1,1,1,""
198201130007,1982,1,13,"",0,"",38,1,North America,Ontario,Toronto,43.666667,-79.416667,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Turkish Consulate General,"",209,Turkey,"","","","","","","","","","","","","","","","",Armenian Secret Army for the Liberation of Armenia,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","","","","","","","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",Armenian Website,1,1,1,1,""
198204080002,1982,4,8,"",0,"",38,1,North America,Ontario,Ottawa,45.42153,-75.697193,1,0,"","",1,1,1,0,"","",0,0,0,1,Assassination,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Turkish in Canada,"Kani Gungos, Commercial convoy",209,Turkey,"","","","","","","","","","","","","","","","",Armenian Secret Army for the Liberation of Armenia,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Gunfire,0,"","",1,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
198208270007,1982,8,27,"",0,"",38,1,North America,Ontario,Ottawa,45.42153,-75.697193,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Turkish Embassy,"Colonel Atilla Altikat (45), military atache",209,Turkey,"","","","","","","","","","","","","","","","",Justice Commandos for the Armenian Genocide,"","","","","","",0,"","",0,1,"","","","","","","","","","","",5,Firearms,3,Handgun,"","","","","","","","","","","","",Pistol - 9 mm caliber,1,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
198210140001,1982,10,14,"",0,"",38,1,North America,Ontario,Toronto,43.666667,-79.416667,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,5,Industrial/Textiles/Factory,"",Litton Systems of Canada Ltd. Plant,217,United States,"","","","","","","","","","","","","","","","",Action Directe,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",7,"","",1,2,Major (likely >= $1 million but < $1 billion),5000000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
198303070001,1983,3,7,"",0,"",38,1,North America,Quebec,Montreal,45.50867,-73.553992,1,0,"","",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,7,Facility/Infrastructure Attack,"","","","",4,Military,27,Military Barracks/Base/Headquarters/Checkpost,"",Canadian Forces Armory,38,Canada,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
198503120003,1985,3,12,"",0,"",38,1,North America,Ontario,Ottawa,45.42153,-75.697193,1,0,"","",1,1,1,0,"","",0,1,0,5,Hostage Taking (Barricade Incident),"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Turkish Embassy,"",209,Turkey,"","","","","","","","","","","","","","","","",Armenian Revolutionary Army,"","","","","","",0,"","",0,3,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","",Explosive; Automatic rifles,1,"","",1,"","",1,"","","","",1,13,0,4,0,"","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
198503120010,1985,3,12,"",0,"",38,1,North America,Ontario,Ottawa,45.42153,-75.697193,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",embassy,209,Turkey,"","","","","","","","","","","","","","","","",Armenian Secret Army for the Liberation of Armenia,"","","","","","",1,"","",0,3,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,5,Firearms,5,Unknown Gun Type,"","","","","","","","",Explosive; Firearm,1,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",Hyland,1,1,1,1,""
198506230001,1985,6,23,"",0,"",38,1,North America,Ontario,Toronto,43.666667,-79.416667,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",6,Airports & Aircraft,42,Aircraft (not at an airport),"",Airliner (Air India) flight 182,92,India,"","","","","","","","","","","","","","","","",Sikh Extremists,Separatists,"","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,329,31,"",0,"","",1,"","","","Damages: bombing, Air India airliner totally destroyed in mid-flight",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,0,1,1,""
198605250010,1986,5,25,"",0,"",38,1,North America,British Columbia,Vancouver,49.25,-123.133333,1,0,"","",1,1,1,0,"","",0,0,0,1,Assassination,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of Punjab,Minister of Planning: Malkiat Singh Sidhu,92,India,"","","","","","","","","","","","","","","","",Sikh Extremists,"","","","","","",0,"","",0,4,4,"","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Small caliber,0,"","",1,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,0,1,1,""
198608140003,1986,8,14,"",0,"",38,1,North America,Ontario,Markham,43.8561,-79.337019,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,74,Marketplace/Plaza/Square,"",shopping mall,38,Canada,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,2,Major (likely >= $1 million but < $1 billion),4000000,"Damages: bombing, shopping mall",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
198912060011,1989,12,6,"",0,"",38,1,North America,Quebec,Montreal,45.501675,-73.567215,1,0,"","12/06/1989: At 4:30 p.m. an assailant armed with a semi-automatic rifle and a hunting knife shot 28 people at the Ecole Polytechnique engineering school in Montreal, Quebec, Canada. The perpetrator was identified as Marc Lepine, who claimed he was 'fighting feminism.'  The attack lasted approximately 20 minutes, during which Lepine killed 14 women and injured 14 other people before killing himself.",1,1,1,0,"","",0,1,1,2,Armed Assault,"","","","",8,Educational Institution,49,School/University/Educational Building,Ecole Polytechnique,Female engineering students,38,Canada,"","","","","","","","","","","","","","","","",Anti-feminist extremists,"","","","","","Lepine stated during the attack that the women he killed were feminists, and that he hated feminists. The suicide note left at the scene reflected both personal and ideological misogyny.",0,"","",0,1,0,1,5,Note left at scene,"","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,9,Melee,23,Knife or Other Sharp Object,"","","","","","","","",".223-caliber Sturm Ruger and a hunting knife, two boxes of bullets and a 30-round magazine",15,0,1,14,0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","","","\"Pitt, David E., \"\"Montreal Gunman had Suicide Note","\"\" The New York Times",December 8,"1989.\"","\"\"\"'Feminists' Ruined Life",Gunman Wrote,"\"\" St. Louis Post-Dispatch",December 8,"1989.\""
199204050006,1992,4,5,"",0,"",38,1,North America,Ontario,Ottawa,45.42153,-75.697193,1,0,"","",1,1,1,-9,"","",0,1,0,8,Unarmed Assault,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Iran State Department,Iranian Embassy,94,Iran,"","","","","","","","","","","","","","","","",Anti-Iran Government Exiles,"","","","","","",0,"","",0,36,"","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Hammer,0,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199205190008,1992,5,19,"",0,"",38,1,North America,Ontario,Toronto,43.666667,-79.416667,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",5,Abortion Related,40,Clinics,"",Abortion clinic,38,Canada,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,3,Minor (likely < $1 million),418000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199205260001,1992,5,26,"",0,"",38,1,North America,Ontario,Ottawa,45.42153,-75.697193,1,0,"","",1,1,1,0,"","",0,0,0,1,Assassination,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,National Islamic Front of Sudan,"Head of Front, Hassan Tourabi",195,Sudan,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,2,"","","","","","","","","","","",9,Melee,22,"Hands, Feet, Fists","","","","","","","","","","","","",Karate,0,"","",1,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199403140012,1994,3,14,"",0,"",38,1,North America,Quebec,Saint-Basile-le-Grand,45.533377,-73.283415,1,0,"","",1,1,1,0,"","",1,0,0,3,Bombing/Explosion,"","","","",21,Utilities,107,Electricity,Hydro Quebec Power,High Tension line tower,38,Canada,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,3,Minor (likely < $1 million),10000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199403140012, 199403140013"
199403140013,1994,3,14,"",0,"",38,1,North America,"",Cornwall,45.021276,-74.730345,1,0,"","",1,1,1,0,"","",1,0,0,3,Bombing/Explosion,"","","","",21,Utilities,107,Electricity,Hydro Quebec Power,High Tension line tower,38,Canada,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,3,Minor (likely < $1 million),10000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199403140013, 199403140012"
